,,,,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,Guinea,
Location,Ebola data source,Indicator type,Case definition,30 December 2013 to 05 January 2014 (2014-W01),06 to 12 January 2014 (2014-W02),13 to 19 January 2014 (2014-W03),20 to 26 January 2014 (2014-W04),27 January to 02 February 2014 (2014-W05),03 to 09 February 2014 (2014-W06),10 to 16 February 2014 (2014-W07),17 to 23 February 2014 (2014-W08),24 February to 02 March 2014 (2014-W09),03 to 09 March 2014 (2014-W10),10 to 16 March 2014 (2014-W11),17 to 23 March 2014 (2014-W12),24 to 30 March 2014 (2014-W13),31 March to 06 April 2014 (2014-W14),07 to 13 April 2014 (2014-W15),14 to 20 April 2014 (2014-W16),21 to 27 April 2014 (2014-W17),28 April to 04 May 2014 (2014-W18),05 to 11 May 2014 (2014-W19),12 to 18 May 2014 (2014-W20),19 to 25 May 2014 (2014-W21),26 May to 01 June 2014 (2014-W22),02 to 08 June 2014 (2014-W23),09 to 15 June 2014 (2014-W24),16 to 22 June 2014 (2014-W25),23 to 29 June 2014 (2014-W26),30 June to 06 July 2014 (2014-W27),07 to 13 July 2014 (2014-W28),14 to 20 July 2014 (2014-W29),21 to 27 July 2014 (2014-W30),28 July to 03 August 2014 (2014-W31),04 to 10 August 2014 (2014-W32),11 to 17 August 2014 (2014-W33),18 to 24 August 2014 (2014-W34),25 to 31 August 2014 (2014-W35),01 to 07 September 2014 (2014-W36),08 to 14 September 2014 (2014-W37),15 to 21 September 2014 (2014-W38),22 to 28 September 2014 (2014-W39),29 September to 05 October 2014 (2014-W40),06 to 12 October 2014 (2014-W41),13 to 19 October 2014 (2014-W42),20 to 26 October 2014 (2014-W43),27 October to 02 November 2014 (2014-W44),27 October to 09 November 2014 (2014-W45),10 to 16 November 2014 (2014-W46),17 to 23 November 2014 (2014-W47),24 to 30 November 2014 (2014-W48),01 to 07 December 2014 (2014-W49),08 to 14 December 2014 (2014-W50),15 to 21 December 2014 (2014-W51),22 to 28 December 2014 (2014-W52),29 December 2014 to 04 January 2015 (2015-W01),05 to 11 January 2015 (2015-W02),12 to 18 January 2015 (2015-W03),19 to 25 January 2015 (2015-W04),26 January to 01 February 2015 (2015-W05),02 to 08 February 2015 (2015-W06),09 to 15 February 2015 (2015-W07),16 to 22 February 2015 (2015-W08),23 February to 01 March 2015 (2015-W09),02 to 08 March 2015 (2015-W10),09 to 15 March 2015 (2015-W11),16 to 22 March 2015 (2015-W12),23 to 29 March 2015 (2015-W13),30 March to 05 April 2015 (2015-W14),06 to 12 April 2015 (2015-W15),13 to 19 April 2015 (2015-W16),20 to 26 April 2015 (2015-W17),27 April to 03 May 2015 (2015-W18),04 to 10 May 2015 (2015-W19),11 to 17 May 2015 (2015-W20),18 to 24 May 2015 (2015-W21),25 to 31 May 2015 (2015-W22),01 to 07 June 2015 (2015-W23),08 to 14 June 2015 (2015-W24),15 to 21 June 2015 (2015-W25),22 to 28 June 2015 (2015-W26),29 June to 05 July 2015 (2015-W27),06 to 12 July 2015 (2015-W28),13 to 19 July 2015 (2015-W29),20 to 26 July 2015 (2015-W30),27 July to 02 August 2015 (2015-W31),03 to 09 August 2015 (2015-W32),10 to 16 August 2015 (2015-W33),17 to 23 August 2015 (2015-W34),24 to 30 August 2015 (2015-W35),31 August to 06 September 2015 (2015-W36),07 to 13 September 2015 (2015-W37),14 to 20 September 2015 (2015-W38),21 to 27 September 2015 (2015-W39),28 September to 04 October 2015 (2015-W40),05 to 11 October 2015 (2015-W41),12 to 18 October 2015 (2015-W42),19 to 25 October 2015 (2015-W43),26 October to 01 November 2015 (2015-W44),02 to 08 November 2015 (2015-W45),09 to 15 November 2015 (2015-W46),16 to 22 November 2015 (2015-W47),23 to 29 November 2015 (2015-W48),30 November to 06 December 2015 (2015-W49),07 to 13 December 2015 (2015-W50),14 to 20 December 2015 (2015-W51),21 to 27 December 2015 (2015-W52),28 December 2015 to 03 January 2016 (2015-W53),04 to 10 January 2016 (2016-W01),11 to 17 January 2016 (2016-W02),18 to 24 January 2016 (2016-W03),25 to 31 January 2016 (2016-W04),01 to 07 February 2016 (2016-W05),08 to 14 February 2016 (2016-W06),15 to 21 February 2016 (2016-W07),22 to 28 February 2016 (2016-W08),29 February to 06 March 2016 (2016-W09),07 to 13 March 2016 (2016-W10),14 to 20 March 2016 (2016-W11),21 to 27 March 2016 (2016-W12),28 March to 03 April 2016 (2016-W13),04 to 10 April 2016 (2016-W14),11 to 17 April 2016 (2016-W15),18 to 24 April 2016 (2016-W16),25 April to 01 May 2016 (2016-W17),02 to 08 May 2016 (2016-W18),
BEYLA,Patient database,New,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,4,4,2,17,7,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
BOFFA,Patient database,New,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,1,2,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
BOKE,Patient database,New,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
CONAKRY,Patient database,New,Confirmed,0,0,0,0,0,0,0,0,0,0,1,0,11,8,8,9,2,0,0,0,1,3,7,1,0,4,1,0,0,17,1,3,5,11,10,3,15,12,33,16,8,16,6,11,19,3,7,15,16,19,21,20,24,9,4,6,6,23,12,7,16,13,27,10,19,8,6,1,0,0,0,0,0,0,2,1,1,1,1,9,13,3,1,1,2,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577
COYAH,Patient database,New,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,2,2,25,7,5,1,8,5,11,16,16,17,16,11,4,8,2,1,1,1,2,8,7,5,21,6,7,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
DABOLA,Patient database,New,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
DALABA,Patient database,New,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
DINGUIRAYE,Patient database,New,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUBREKA,Patient database,New,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,15,1,0,0,0,0,0,0,0,1,0,0,6,3,5,3,2,19,14,5,5,0,0,6,11,1,3,5,2,0,3,1,0,0,1,0,1,12,3,4,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
